date,time,content,is_posted
2026-01-02,03:14,1/ Keep it simple. 🧵,False
2026-01-02,03:15,Wisdom is knowing what to ignore.,False
2026-01-02,03:16,Do you agree? Energy speaks.,False
2026-01-02,03:13,Be a ghost. Let the results haunt them.,False
2026-01-02,11:18,print('Frontend makes it look good. Backend makes it work. I do both.'),False
2026-01-02,11:24,Observation: Dating is cool but have you ever fixed a bug at 3 AM?,False
2026-01-02,11:42,Do the work.,False
2026-01-02,11:44,"Do you agree? MERN stack is cool, but understanding the fundamentals is cooler.",False
2026-01-02,11:48,print('Schrödinger's cat would have loved my buggy code: dead and alive at the same time.'),False
2026-01-02,11:49,"if it was easy, everyone would have a 95 cgpa //",False
2026-01-02,11:55,speed creates friction.,False
2026-01-02,11:58,Observation: Build in silence. Break the internet when you launch.,False
2026-01-02,12:26,Read this carefully: Comfort is the enemy of progress.,False
2026-01-02,13:17,Note to self: Levels.,False
2026-01-02,13:19,Note to self: Do the work.,False
2026-01-02,16:03,Note to self: Wisdom is knowing what to ignore.,False
2026-01-02,17:40,"i speak three languages: english, hindi, and python //",False
2026-01-02,17:47,"History doesn't repeat itself, but human nature does. #Python #Engineering #Focus",False
2026-01-02,18:07,mediocrity is a crowded place i prefer the solitude of excellence //,False
2026-01-02,18:26,Create or consume. Choose. #Python #Engineering #Focus,False
2026-01-02,18:53,Note to self: Cryptography is the art of keeping secrets in a world that can't shut up.,False
2026-01-02,18:58,Note to self: I have 99 problems and a missing semicolon caused 98 of them.,False
2026-01-02,19:03,Note to self: A high IQ is useless without high agency.,False
2026-01-02,19:10,print('I’m not anti-social. I’m just in private repository mode.'),False
2026-01-02,19:17,Git commit. Git push. Git better.,False
2026-01-02,19:23,Observation: A polymath sees the pattern in everything.,False
2026-01-02,20:22,algorithm for success: while(alive) { grind(); },False
2026-01-02,20:34,create or consume. choose.,False
2026-01-02,20:56,1/ Learning is the only infinite game. 🧵,False
2026-01-02,20:59,Note to self: Control your mind or it will control you.,False
2026-01-02,21:03,"Read this carefully: MERN stack is cool, but understanding the fundamentals is cooler.",False
2026-01-02,21:10,converting caffeine into logic //,False
2026-01-02,22:08,first year btech is just the tutorial level skip the cutscenes //,False
2026-01-02,23:35,"Observation: I speak three languages: English, Hindi, and Python.",False
2026-01-03,10:50,energy speaks //,False
2026-01-03,13:42,i have 99 problems and a missing semicolon caused 98 of them //,False
2026-01-03,14:28,Do you agree? Wisdom is knowing what to ignore.,False
2026-01-03,14:45,University teaches you the syllabus. Projects teach you the industry.,False
2026-01-03,15:29,i’m not anti-social. i’m just in private repository mode.,False
2026-01-03,15:31,You don't need more time. You need more focus.,False
2026-01-03,15:33,Brain: 'You need sleep.' Me: 'One more function.',False
2026-01-03,15:39,print('5 AM in Gurugram. The rest are dreaming; I'm building.'),False
2026-01-03,16:02,print('Reading philosophy to debug my own operating system (my brain).'),False
2026-01-03,16:15,print('Question everything. Even the compiler.'),False
2026-01-03,16:21,Code doesn't lie. People do. #Python #Engineering #Focus,False
2026-01-03,16:36,Note to self: Gravity is just the curvature of spacetime. Stress is just the curvature of perspective.,False
2026-01-03,16:48,Observation: Reading philosophy to debug my own operating system (my brain).,False
2026-01-03,16:53,I don't make mistakes. I create unexpected learning opportunities. #Python #Engineering #Focus,False
2026-01-03,17:26,connecting the dots between ancient hindu texts and modern ai //,False
2026-01-03,17:30,Note to self: Quality over quantity.,False
2026-01-03,17:45,Silence is the loudest scream. Focus is the sharpest weapon. #Python #Engineering #Focus,False
2026-01-03,17:56,frontend makes it look good. backend makes it work. i do both.,False
2026-01-03,18:39,Observation: Quantum mechanics proves that reality is just probability.,False
2026-01-03,19:09,simplicity is the soul of efficiency //,False
2026-01-03,19:36,I have 99 problems and a missing semicolon caused 98 of them. #Python #Engineering #Focus,False
2026-01-03,19:45,Learning is the only infinite game. #Python #Engineering #Focus,False
2026-01-03,20:06,rest day? never heard of her.,False
2026-01-03,20:54,Everything is data.,False
2026-01-03,21:00,"Do you agree? I put the 'pro' in procrastinate... wait, no.",False
2026-01-03,21:38,Comfort is the enemy of progress.,False
2026-01-03,21:43,Note to self: Energy speaks.,False
2026-01-03,21:44,A high IQ is useless without high agency. #Python #Engineering #Focus,False
2026-01-03,22:08,"Observation: To understand the macro, you must master the micro.",False
2026-01-03,22:08,Observation: Project May isn't just code; it's a second brain.,False
2026-01-03,22:19,1/ Frontend makes it look good. Backend makes it work. I do both. 🧵,False
2026-01-03,22:44,1/ Comfort is the enemy of progress. 🧵,False
2026-01-03,23:11,Do you agree? Algorithm for success: While(alive) { grind(); },False
2026-01-03,23:59,Mastery takes time. #Python #Engineering #Focus,False
2026-01-04,10:18,Your potential is meaningless if you don't execute.,False
2026-01-04,10:32,Do you agree? Don't tell people your plans. Show them your results.,False
2026-01-04,11:26,Observation: Mastery takes time.,False
2026-01-04,11:43,Observation: Create or consume. Choose.,False
2026-01-04,12:07,Mediocrity is a crowded place. I prefer the solitude of excellence. #Python #Engineering #Focus,False
2026-01-04,12:21,Do you agree? Be undeniable.,False
2026-01-04,13:08,1/ The world is noisy. Your code should be clean. 🧵,False
2026-01-04,13:08,brain: 'you need sleep.' me: 'one more function.',False
2026-01-04,13:10,Do you agree? Rest day? Never heard of her.,False
2026-01-04,13:20,Observation: Discipline is the bridge between goals and accomplishment.,False
2026-01-04,13:46,Read this carefully: Levels.,False
2026-01-04,13:51,Note to self: AI won't replace you. A person using AI will.,False
2026-01-04,13:57,print('Pivot. Adapt. Overcome.'),False
2026-01-04,13:58,Project Crypto: Because privacy is a human right.,False
2026-01-04,14:16,my love language is distinct variable names.,False
2026-01-04,14:42,momentum is everything.,False
2026-01-04,14:58,Read this carefully: Do the work.,False
2026-01-04,15:03,be undeniable //,False
2026-01-04,15:54,Execution > Ideas.,False
2026-01-04,15:55,print('Routine is freedom.'),False
2026-01-04,16:14,First year B.Tech is just the tutorial level. Skip the cutscenes. #Python #Engineering #Focus,False
2026-01-04,16:36,1/ Tired? Good. That means you're doing it right. 🧵,False
2026-01-04,17:07,print('The gym is my therapy. The IDE is my canvas.'),False
2026-01-04,17:28,Algorithm for success: While(alive) { grind(); },False
2026-01-04,18:20,Read this carefully: Aesthetic check: Dark mode on everything.,False
2026-01-04,18:44,silence is the loudest scream focus is the sharpest weapon //,False
2026-01-04,19:51,Note to self: Mastery takes time.,False
2026-01-04,20:56,Read this carefully: Create or consume. Choose.,False
2026-01-04,21:05,Control your mind or it will control you.,False
2026-01-04,21:10,"Observation: Aesthetic body, aesthetic code, aesthetic mind.",False
2026-01-04,21:37,schrödinger's cat would have loved my buggy code: dead and alive at the same time.,False
2026-01-04,22:00,Control your mind or it will control you. #Python #Engineering #Focus,False
2026-01-04,23:01,Don't tell people your plans. Show them your results.,False
2026-01-04,23:56,print('My code works. I have no idea why.'),False
2026-01-05,10:40,Do you agree? Touching grass? I prefer touching keys.,False
2026-01-05,10:45,Do you agree? Mathematics is the language the universe wrote the source code in.,False
2026-01-05,11:08,Read this carefully: Reading philosophy to debug my own operating system (my brain).,False
2026-01-05,11:19,Do you agree? End game.,False
2026-01-05,11:36,Read this carefully: Frontend makes it look good. Backend makes it work. I do both.,False
2026-01-05,12:12,Mathematics is the language the universe wrote the source code in. #Python #Engineering #Focus,False
2026-01-05,12:44,1/ Your potential is meaningless if you don't execute. 🧵,False
2026-01-05,13:07,B.Tech life: Surviving on hope and Maggi.,False
2026-01-05,13:29,Read this carefully: Stay dangerous.,False
2026-01-05,13:50,1/ Connecting the dots between Ancient Hindu texts and modern AI. 🧵,False
2026-01-05,13:52,Do you agree? Everything is data.,False
2026-01-05,13:58,print('Levels.'),False
2026-01-05,14:16,print('Dating is cool but have you ever fixed a bug at 3 AM?'),False
2026-01-05,14:27,Observation: Rest day? Never heard of her.,False
2026-01-05,15:03,stay dangerous.,False
2026-01-05,16:57,Observation: Mediocrity is a crowded place. I prefer the solitude of excellence.,False
2026-01-05,17:09,Project Sera: optimizing my life one line of code at a time.,False
2026-01-05,17:13,Observation: Quality over quantity.,False
2026-01-05,17:53,Reading philosophy to debug my own operating system (my brain). #Python #Engineering #Focus,False
2026-01-05,18:16,stoicism is just an exception handling system for life //,False
2026-01-05,18:54,1/ B.Tech life: Surviving on hope and Maggi. 🧵,False
2026-01-05,19:04,Note to self: I’m an engineer. I solve problems I created.,False
2026-01-05,19:12,Do you agree? Converting caffeine into logic.,False
2026-01-05,19:18,"print('Be like water, my friend. Or be like Python—adaptable.')",False
2026-01-05,19:28,"print('To understand the macro, you must master the micro.')",False
2026-01-05,19:30,I’m an engineer. I solve problems I created. #Python #Engineering #Focus,False
2026-01-05,20:42,Read this carefully: Execution > Ideas.,False
2026-01-05,20:44,"Read this carefully: Aesthetic body, aesthetic code, aesthetic mind.",False
2026-01-05,21:18,Project May isn't just code; it's a second brain.,False
2026-01-05,21:27,schrödinger's cat would have loved my buggy code: dead and alive at the same time //,False
2026-01-05,21:46,git commit. git push. git better.,False
2026-01-05,22:51,Do you agree? Aesthetic check: Dark mode on everything.,False
2026-01-05,22:52,Tired? Good. That means you're doing it right.,False
2026-01-05,23:04,Read this carefully: Question everything. Even the compiler.,False
2026-01-06,10:10,mastery takes time.,False
2026-01-06,10:19,print('My love language is distinct variable names.'),False
2026-01-06,10:59,Note to self: Smiling because I have no idea what's going on in this lecture.,False
2026-01-06,11:01,logic is the anatomy of thought.,False
2026-01-06,11:02,Code doesn't lie. People do.,False
2026-01-06,11:08,Touching grass? I prefer touching keys.,False
2026-01-06,11:20,Observation: Tired? Good. That means you're doing it right.,False
2026-01-06,11:20,Note to self: Be a ghost. Let the results haunt them.,False
2026-01-06,11:36,Observation: Simplicity is the soul of efficiency.,False
2026-01-06,11:48,Read this carefully: I have 99 problems and a missing semicolon caused 98 of them.,False
2026-01-06,11:57,print('Current mood: sudo rm -rf my_problems'),False
2026-01-06,12:09,Do you agree? B.Tech life: Surviving on hope and Maggi.,False
2026-01-06,12:42,Read this carefully: Git commit. Git push. Git better.,False
2026-01-06,13:46,"Do you agree? Aesthetic body, aesthetic code, aesthetic mind.",False
